File,Current,Planning2,Planning3,Hash Match,Recommendation
.DS_Store,YES,YES,YES,Current/Planning2/Planning3,DELETE
00_Governance/.DS_Store,YES,NO,NO,NO,DELETE
00_Governance/BOARD_CURRENT_STATE.md,YES,NO,NO,NO,KEEP
00_Governance/BOARD_DECISIONS_REGISTER.md,YES,NO,NO,NO,KEEP
00_Governance/BOARD_HISTORY_SUMMARY.md,YES,NO,NO,NO,KEEP
00_Governance/COMMUNICATION_PROTOCOL_v1.0.md,YES,NO,NO,NO,KEEP
00_Governance/Communications/.DS_Store,YES,NO,NO,NO,DELETE
00_Governance/Communications/README.md,YES,NO,NO,NO,KEEP
00_Governance/Communications/Session_08/.DS_Store,YES,NO,NO,NO,DELETE
00_Governance/Communications/Session_08/ChatGPT/COMM-S08_CHATGPT_001.md,YES,NO,NO,NO,KEEP
00_Governance/Communications/Session_08/SALEEM/COMM-S08-SALEEM-002.md,YES,NO,NO,NO,KEEP
00_Governance/Communications/Session_08/SALEEM/COMM-S08-SALEEM-003.md,YES,NO,NO,NO,KEEP
00_Governance/Communications/Session_08/SALEEM/COMM-S08_SALEEM_001.md,YES,NO,NO,NO,KEEP
00_Governance/Communications/Session_09/SALEEM/COMM-S09-SALEEM-001.md,YES,NO,NO,NO,KEEP
00_Governance/DOCUMENT_AUTHORITY_MATRIX.md,YES,NO,NO,NO,KEEP
00_Governance/GOVERNANCE_ADDENDUM_v1.0.md,YES,NO,NO,NO,KEEP
00_Governance/GOVERNANCE_BASELINE_v1.0.md,YES,NO,NO,NO,KEEP
00_Governance/GOVERNANCE_CHANGELOG.md,YES,NO,NO,NO,KEEP
00_Governance/REVIEW_EVIDENCE_STANDARD_v1.0.md,YES,NO,NO,NO,KEEP
00_Governance/Repository_Lineage/Evidence/current_hashes.txt,YES,NO,NO,NO,KEEP
00_Governance/Repository_Lineage/Evidence/diff_2_vs_3.txt,YES,NO,NO,NO,KEEP
00_Governance/Repository_Lineage/Evidence/diff_current_vs_2.txt,YES,NO,NO,NO,KEEP
00_Governance/Repository_Lineage/Evidence/diff_current_vs_3.txt,YES,NO,NO,NO,KEEP
00_Governance/Repository_Lineage/Evidence/planning2_inventory.txt,YES,NO,NO,NO,KEEP
00_Governance/Repository_Lineage/Evidence/planning3_inventory.txt,YES,NO,NO,NO,KEEP
00_Governance/Repository_Lineage/Evidence/planning_current_inventory.txt,YES,NO,NO,NO,KEEP
00_Governance/Repository_Lineage/Evidence/~gvfGg2Q.tmp,YES,NO,NO,NO,DELETE
00_Governance/Repository_Lineage/REPOSITORY_LINEAGE_INVESTIGATION.md,YES,NO,NO,NO,KEEP
01_Policies/PolicyReview/POLICY_INTENT_REPOSITORY_v1.1.md,YES,NO,NO,NO,KEEP
01_Policies/PolicyReview/POLICY_REVIEW_CHANGELOG_v1.1.md,YES,NO,NO,NO,KEEP
01_Policies/PolicyReview/POLICY_REVIEW_OPEN_ITEMS_v1.1.md,YES,NO,NO,NO,KEEP
01_Policies/PolicyReview/evidence/.gitkeep,YES,NO,NO,Current/Planning2/Planning3,KEEP
02_Onboarding/Archive/REVIEWER_PACKET_KIMI_CURRENT.md,YES,NO,NO,NO,KEEP
02_Onboarding/CURRENT_REVIEW_PACKET.md,YES,NO,NO,NO,KEEP
02_Onboarding/README.md,YES,NO,NO,NO,KEEP
02_Onboarding/REPOSITORY_STRUCTURE_STANDARD.md,YES,NO,NO,NO,KEEP
02_Onboarding/REVIEWER_ENTRY_POINT.md,YES,NO,NO,NO,KEEP
02_Onboarding/REVIEWER_PACKET_INDEX.md,YES,NO,NO,NO,KEEP
02_Onboarding/SESSION4_PRE_READ.md,YES,NO,NO,NO,KEEP
02_Onboarding/SESSION_HISTORY.md,YES,NO,NO,NO,KEEP
02_Onboarding/START_HERE_SESSION4.md,YES,NO,NO,NO,KEEP
02_Onboarding/Session_08/MANIFEST.md,YES,NO,NO,NO,KEEP
02_Onboarding/Session_08/REVIEW_PACKET.md,YES,NO,NO,NO,KEEP
02_Onboarding/Session_09/MANIFEST.md,YES,NO,NO,NO,KEEP
02_Onboarding/Session_09/REVIEW_PACKET.md,YES,NO,NO,NO,KEEP
02_Onboarding/Templates/REVIEW_PACKET_MANIFEST_TEMPLATE.md,YES,NO,NO,NO,KEEP
03_Debt_Management/DEBT001/DEBT001_EVIDENCE_PLAN_v1.2.md,YES,NO,NO,NO,KEEP
03_Debt_Management/DEBT001/Execution/EXECUTION_AUTHORIZATION_CHECKLIST.md,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/environment.md,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/execution_plan.md,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/memory_snapshot.json,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/pilot_analysis.md,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/pilot_results.csv,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/raw_runs/.gitkeep,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/raw_runs/fixed_10_run_01_E1.json,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/raw_runs/fixed_10_run_02_E2.json,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/raw_runs/fixed_10_run_03_E3.json,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/raw_runs/fixed_10_run_04_E4.json,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/raw_runs/fixed_10_run_05_R1.json,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/raw_runs/fixed_10_run_06_R2.json,YES,NO,NO,Current/Planning2/Planning3,KEEP
03_Debt_Management/DEBT001/Execution/pilot/raw_runs/fixed_10_run_07_R3.json,YES,NO,NO,Current/Planning2/Planning3,KEEP
